feature,score,type
Office Space,8,interior
Work From Home Space,8,interior
Study,8,interior
Home Workspace,8,interior
Home Office Design,8,interior
Home Gym,7,interior
Exercise Room,7,interior
Fitness Room,7,interior
Workout Space,7,interior
Home Fitness,7,interior
Home Gym Design,7,interior
Home Theatre,7,interior
Media Room,7,interior
Entertainment Space,7,interior
Home Cinema,7,interior
Theatre Room,7,interior
Movie Room,7,interior
Wine Cellar,6,interior
Wine Room,6,interior
Wine Storage,6,interior
Wine Collection,6,interior
Wine Tasting Room,6,interior
Wine Enthusiast,6,interior
Walk-in Closet,10,interior
Walk-in Wardrobe,10,interior
Dressing Room,10,interior
Walk-in Robe,10,interior
Walk-in Storage,10,interior
Walk-in Organizer,10,interior
Built-in Closets,8,interior
Custom Closets,8,interior
Built-in Wardrobes,8,interior
Fitted Closets,8,interior
Closet Organizers,8,interior
Closet Systems,8,interior
Custom Kitchen,8,interior
Bespoke Kitchen,8,interior
Custom Designed Kitchen,8,interior
Architect Designed Kitchen,8,interior
One of a Kind Kitchen,8,interior
Unique Kitchen,8,interior
Granite Countertops,8,interior
Granite Kitchen,8,interior
Granite Surfaces,8,interior
Granite Counters,8,interior
Granite Worktops,8,interior
Granite Kitchen Island,8,interior
Marble Countertops,8,interior
Marble Kitchen,8,interior
Marble Surfaces,8,interior
Marble Counters,8,interior
Marble Worktops,8,interior
Marble Kitchen Island,8,interior
Quartz Countertops,8,interior
Quartz Kitchen,8,interior
Quartz Surfaces,8,interior
Quartz Counters,8,interior
Quartz Worktops,8,interior
Quartz Kitchen Island,8,interior
Stainless Steel Appliances,8,interior
Stainless Steel Kitchen,8,interior
Stainless Steel Surfaces,8,interior
Stainless Steel Counters,8,interior
Stainless Steel Worktops,8,interior
Stainless Steel Kitchen Island,8,interior
Gas Stove,8,interior
Gas Cooktop,8,interior
Gas Range,8,interior
Gas Oven,8,interior
Gas Burners,8,interior
Gas Kitchen,8,interior
Double Oven,8,interior
Dual Oven,8,interior
Two Ovens,8,interior
Double Stove,8,interior
Double Range,8,interior
Double Cooktop,8,interior
Kitchen Island,8,interior
Island Kitchen,8,interior
Kitchen Centerpiece,8,interior
Kitchen Workstation,8,interior
Kitchen Gathering Space,8,interior
Kitchen Prep Area,8,interior
Pantry,8,interior
Walk-in Pantry,8,interior
Butler Pantry,8,interior
Food Storage,8,interior
Kitchen Storage,8,interior
Pantry Organization,8,interior
Eat-in Kitchen,8,interior
Breakfast Nook,8,interior
Kitchen Dining,8,interior
Casual Dining,8,interior
